_id,score,magnitude,date
936877545701515265,0,0.1,1512203987895
936877548281257984,0,0.3,1512203988510
936877549157863424,0.2,0.2,1512203988719
936877549287645184,0.2,0.4,1512203988750
936877549707190272,0,0,1512203988850
936877550931865601,0,0,1512203989142
936877552416591873,0,0.3,1512203989496
936877553523949568,0.1,0.2,1512203989760
936877554081787904,0,0.3,1512203989893
936877554861989889,0,0.3,1512203990079
936877556300636160,0,0,1512203990422
936877562499801088,0.5,0.5,1512203991900
936877563665772544,0,0.3,1512203992178
936877567897878529,0,0.3,1512203993187
936877569613242369,0,0,1512203993596
936877570838093824,0.3,0.6,1512203993888
936877572889001984,0.5,1,1512203994377
936877574830952448,0,0.3,1512203994840
936877578408812546,0,0,1512203995693
936877578945572864,0.4,0.4,1512203995821
936877585669046273,0.1,0.9,1512203997424
936877587980107778,0.3,0.6,1512203997975
936877591377584129,0.3,1,1512203998785
936877591419437056,0.5,0.5,1512203998795
936877595622227968,0,0.3,1512203999797
936877597446639620,-0.6,0.6,1512204000232
936877598470049792,-0.4,0.8,1512204000476
936877600068141058,0,0.3,1512204000857
936877600927924224,0.4,0.4,1512204001062
936877601703870465,0.1,0.2,1512204001247
936877602773463040,-0.2,0.6,1512204001502
936877605344575489,0.5,0.5,1512204002115
936877606527320064,-0.1,0.5,1512204002397
936877608649728000,0,0,1512204002903
936877609475960832,0,0.1,1512204003100
936877610264543232,0,0.7,1512204003288
936877611736735745,0,0,1512204003639
936877613330571269,0.7,0.7,1512204004019
936877617759731712,0,0,1512204005075
936877617558446080,0.2,0.5,1512204005027
936877618028167168,-0.1,0.1,1512204005139
936877621366812673,0,0.3,1512204005935
936877621685534721,0.1,0.3,1512204006011
936877622465667072,0.2,0.4,1512204006197
936877623778557953,0.8,0.8,1512204006510
936877624013463555,0,0.3,1512204006566
936877625531801600,0.1,0.9,1512204006928
936877630455914496,0,0.3,1512204008102
936877631693189120,0.7,0.7,1512204008397
936877632972513280,0.1,0.1,1512204008702
936877633073176576,0.5,0.5,1512204008726
936877632565547009,0,0.1,1512204008605
936877633962328065,0.8,0.8,1512204008938
936877635241517056,0,0,1512204009243
936877641826672640,0.4,0.4,1512204010813
936877644250996738,0,0,1512204011391
936877645148516353,-0.3,0.3,1512204011605
936877645282689024,0,0,1512204011637
936877646146760704,0.4,1.2,1512204011843
936877648424267777,0.2,0.8,1512204012386
936877651138035714,0,0,1512204013033
936877651725246465,0.1,0.2,1512204013173
936877653524488192,0,0.1,1512204013602
936877655130902528,0,0.3,1512204013985
936877655688806400,0,0,1512204014118
936877658150903808,0.1,0.2,1512204014705
936877658637402112,0.1,0.1,1512204014821
936877659136524288,0,0.1,1512204014940
936877659711094785,-0.1,0.1,1512204015077
936877661212700672,0,0,1512204015435
936877661049077761,0.2,1.1,1512204015396
936877667982311424,0.6,0.6,1512204017049
936877669072830465,-0.4,0.4,1512204017309
936877669659979776,0,0,1512204017449
936877669035122688,0.2,0.2,1512204017300
936877672239472641,0,0.1,1512204018064
936877676651978753,0.1,0.1,1512204019116
936877676568051712,0.2,0.7,1512204019096
936877676006072321,0,0,1512204018962
936877680812683264,-0.3,0.3,1512204020108
936877681056006144,0,0.1,1512204020166
936877683622809601,-0.3,0.8,1512204020778
936877682792456192,0.5,1.7,1512204020580
936877686986702850,0,0,1512204021580
936877687443922944,0,0,1512204021689
936877688807088128,0,0,1512204022014
936877689213820928,-0.1,0.4,1512204022111
936877693756350464,-0.1,0.1,1512204023194
936877690883149824,0.2,1.1,1512204022509
936877694473474049,-0.6,0.6,1512204023365
936877696281231360,0.1,0.1,1512204023796
936877696512008192,-0.6,0.6,1512204023851
936877695954141185,0.6,0.6,1512204023718
936877700836290562,-0.1,0.4,1512204024882
936877709967245312,0.2,0.7,1512204027059
936877710449590272,0,1.5,1512204027174
936877710780989440,0,0,1512204027253
936877711447941120,0,0,1512204027412
936877712202899456,0.1,0.3,1512204027592
936877712320348160,0,0,1512204027620
936877711343075328,0.2,0.5,1512204027387
936877716367740928,0,0,1512204028585
936877718259433473,0,0.3,1512204029036
936877721098919936,0,0.2,1512204029713
936877727696674816,0.2,0.7,1512204031286
936877729487527936,0,0.3,1512204031713
936877729189732353,0.2,1,1512204031642
936877733807656960,0,0,1512204032743
936877735535714304,0,0.1,1512204033155
936877736232042498,0.1,0.1,1512204033321
936877744243085312,0.2,1,1512204035231
936877743957950466,-0.4,0.4,1512204035163
936877743685353472,0,0,1512204035098
936877750727491584,0.4,0.4,1512204036777
936877752996659201,-0.2,0.7,1512204037318
936877753642631169,0,0.3,1512204037472
936877750551396352,0.2,1.1,1512204036735
936877754921795585,0.5,0.5,1512204037777
936877754959634432,0,0.1,1512204037786
936877756859609094,0.5,0.5,1512204038239
936877758348537856,0.4,0.4,1512204038594
936877761901109248,0.1,0.3,1512204039441
936877767378976768,0.5,0.5,1512204040747
936877768872042496,0,0.1,1512204041103
936877769119559680,0.2,0.2,1512204041162
936877769408921600,-0.9,0.9,1512204041231
936877769891364865,0,0.3,1512204041346
936877776354676736,0,0.3,1512204042887
936877779684962304,0.1,0.3,1512204043681
936877779806601216,0.3,0.6,1512204043710
936877781836693504,0,0.3,1512204044194
936877782075719680,0.2,0.4,1512204044251
936877786832125952,0,0.3,1512204045385
936877787675160577,0,0.1,1512204045586
936877788019036161,0.2,1.1,1512204045668
936877794574835712,0.9,0.9,1512204047231
936877794503487489,0,0.3,1512204047214
936877795824754695,0.2,0.7,1512204047529
936877796537769985,0.2,0.4,1512204047699
936877797699608576,0.1,0.3,1512204047976
936877798920040448,0.5,0.5,1512204048267
936877798999724032,0,0.3,1512204048286
936877799205306368,-0.1,0.5,1512204048335
936877800841080834,0.1,0.3,1512204048725
936877803756183552,-0.2,0.2,1512204049420
936877804125241345,0,0.1,1512204049508
936877804892831745,0,0.1,1512204049691
936877805769330694,0.2,0.7,1512204049900
936877808885809153,-0.1,0.1,1512204050643
936877808172724226,0.2,0.4,1512204050473
936877809347076097,0.4,0.8,1512204050753
936877809972101121,0.1,1,1512204050902
936877810387316736,0,0.3,1512204051001
936877813533065217,0.2,0.2,1512204051751
936877813965008897,0,0.3,1512204051854
936877817987440641,-0.1,0.5,1512204052813
936877817920339968,0.1,0.1,1512204052797
